9.338888888888888795e-01, 9.337777777777778176e-01, 9.337777777777778176e-01, 9.337777777777778176e-01, 9.313333333333333464e-01, 9.284444444444444056e-01, 9.277777777777778123e-01, 9.173333333333333339e-01, 9.163333333333333330e-01, 9.163333333333333330e-01
9.241111111111111054e-01, 9.210000000000000409e-01, 9.190000000000000391e-01, 9.087777777777777954e-01, 9.087777777777777954e-01, 9.087777777777777954e-01, 9.065555555555555589e-01, 9.065555555555555589e-01, 9.065555555555555589e-01, 9.020000000000000240e-01
8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01, 8.970000000000000195e-01
9.487777777777778310e-01, 9.215555555555555722e-01, 9.187777777777778043e-01, 9.187777777777778043e-01, 9.114444444444443905e-01, 9.114444444444443905e-01, 9.114444444444443905e-01, 9.114444444444443905e-01, 9.114444444444443905e-01, 9.114444444444443905e-01
8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01, 8.572222222222222188e-01
9.312222222222221735e-01, 9.306666666666666421e-01, 9.306666666666666421e-01, 9.242222222222221673e-01, 9.242222222222221673e-01, 9.242222222222221673e-01, 9.242222222222221673e-01, 9.242222222222221673e-01, 9.242222222222221673e-01, 9.242222222222221673e-01
9.016666666666666163e-01, 9.016666666666666163e-01, 9.016666666666666163e-01, 9.016666666666666163e-01, 9.016666666666666163e-01, 9.016666666666666163e-01, 8.938888888888888440e-01, 8.938888888888888440e-01, 8.938888888888888440e-01, 8.938888888888888440e-01
9.124444444444443914e-01, 9.124444444444443914e-01, 9.121111111111110947e-01, 9.073333333333333250e-01, 9.052222222222222614e-01, 8.923333333333333117e-01, 8.923333333333333117e-01, 8.923333333333333117e-01, 8.923333333333333117e-01, 8.895555555555555438e-01
9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01, 9.128888888888888609e-01
9.150000000000000355e-01, 9.150000000000000355e-01, 9.150000000000000355e-01, 9.146666666666666279e-01, 9.124444444444443914e-01, 9.124444444444443914e-01, 9.124444444444443914e-01, 9.124444444444443914e-01, 9.124444444444443914e-01, 9.124444444444443914e-01
